ASSETID,LOCATION,LEGACYID,STYPE,CONTROLTYPE,WARRANTYDATE,MAINTENANCESECTION,LIFECYCLESTATUS,INSTALLDATE,CONDITION,CONDITIONDATE,OWNEDBY,MAINTAINEDBY,PRIMARYIMAGE,RECORDEDLENGTH,ROTATION,COLLECTIONMETHOD,SOURCENOTES,SIGNAL,SIGN,GATE,WORKAREA,COMMUNITY,FULLSTREETNAME1,FULLSTREETNAME2,FULLSTREETNAME3,FULLSTREETNAME4,DIRECTION1,DIRECTION2,STREETNAMEID1,STREETNAMEID2,STREETNAMEID3,STREETNAMEID4,SEGCOUNT,EDITORCOMMENT,LASTUPDATE,LASTEDITOR,CREATEDATE,CREATEEDITOR,GLOBALID,geometry,longitude,latitude
146635,FOCH ST and REGIONAL ROAD 84,5880,Continuous,Yield sign,,NE,ACT,,FOCH ST,,1.0,1.0,REGIONAL ROAD 84,,0.0,0.0,FOCH ST|REGIONAL ROAD 84,,,,637,Capreol,Foch Street,Epiphany Street,,,,,705.0,600.0,,,2.0,,2020-05-04 15:14:57+00:00,TEK05PLA,,,{3346B4F4-8CDD-483F-86D6-AD4C516E53E7},POINT (505488.4107999997 5173688.1863),-80.92818702819764,46.71672601841714
146614,,,Dead end,,,NE,REM,,,,1.0,1.0,,,167.52720000000002,0.0,,,,,637,Capreol,Unnamed Private Road 152,,,,,,2252.0,,,,1.0,,2020-05-04 12:04:05+00:00,TEK05PLA,,,{2705EE4F-D63B-464D-B919-38DF985BBF7E},POINT (505426.2231999999 5173343.7248),-80.92900478506918,46.71362664584681
146685,STULL ST and SELLWOOD AVE,5946,Continuous,Stop sign,,NE,ACT,,SELLWOOD AVE,,1.0,1.0,STULL ST,,269.0871,0.0,SELLWOOD AVE|STULL ST,,,,637,Capreol,Sellwood Avenue,Stull Street,,,,,1778.0,1901.0,,,1.0,,2020-05-04 15:14:03+00:00,TEK05PLA,,,{F45AADC6-C537-449B-8A2C-6AEFF062CE82},POINT (505673.5120000001 5173496.818600001),-80.92576743988253,46.71500231571509
146498,FRANK ST and STULL ST,5705,Continuous,Stop sign,,NE,ACT,,FRANK ST,,1.0,1.0,STULL ST,,359.6085,0.0,FRANK ST|STULL ST,,,,637,Capreol,Stull Street,Stull Street,,,,,1901.0,1901.0,,,1.0,,2020-05-04 15:10:28+00:00,TEK05PLA,,,{007F88AA-41D9-49F4-9E66-71E9592ACF29},POINT (505090.48369999975 5173495.9417),-80.93339582012564,46.71499911849696
146570,GLENN ST and STULL ST,5788,Continuous,Stop sign,,NE,ACT,,GLENN ST,,1.0,1.0,STULL ST,,359.4913,0.0,GLENN ST|STULL ST,,,,637,Capreol,Stull Street,Stull Street,,,,,1901.0,1901.0,,,1.0,,2020-05-04 15:11:18+00:00,TEK05PLA,,,{F8E5D015-0A5B-46C3-949F-275C71931993},POINT (505288.5083999997 5173496.1821),-80.93080485275274,46.714999744560075
146407,RANDOLPH ST and STULL ST,5605,Continuous,Stop sign,,NE,ACT,,RANDOLPH ST,,1.0,1.0,STULL ST,,359.7663,0.0,RANDOLPH ST|STULL ST,,,,637,Capreol,Stull Street,Stull Street,,,,,1901.0,1901.0,,,1.0,,2020-05-04 15:09:15+00:00,TEK05PLA,,,{5F1595A4-53CC-4F43-902E-44954A3EE930},POINT (504892.55790000036 5173494.425899999),-80.93598550705973,46.71498695545613
146539,CLYDE ST and STULL ST,5761,Continuous,Stop sign,,NE,ACT,,STULL ST,,1.0,1.0,CLYDE ST,,359.62460000000004,0.0,STULL ST|CLYDE ST,,,,637,Capreol,Stull Street,Stull Street,,,,,1901.0,1901.0,,,1.0,,2020-05-04 15:11:01+00:00,TEK05PLA,,,{02EE7865-A7C8-4054-8F09-55AB5B313BAA},POINT (505189.2112999996 5173496.2447999995),-80.9321040600568,46.7150010870271
146628,,,Continuous,,,NE,REM,,,,1.0,1.0,,,326.2975,0.0,,,,,645,Capreol,Moose Mountain Mine Road,Sellwood Avenue,,,,,1376.0,1778.0,,,1.0,Lifecycle status changed as per new Rules (Feb 26 2020),2020-05-04 15:58:16+00:00,TEK05PLA,,,{FA8F2219-72F8-4394-B66F-EA1B3C14CF5C},POINT (505476.5127999997 5173805.667099999),-80.92834130760252,46.71778334963049
146656,ALBERT ST and STULL ST,5896,Continuous,Stop sign,,NE,ACT,,ALBERT ST,,1.0,1.0,STULL ST,,358.89430000000004,0.0,ALBERT ST|STULL ST,,,,637,Capreol,Stull Street,Stull Street,,,,,1901.0,1901.0,,,1.0,,2020-05-04 15:13:49+00:00,TEK05PLA,,,{E4CF82A8-640E-4EF5-B298-3A98FCE8E0E6},POINT (505579.3931 5173495.3188000005),-80.92699891420129,46.71498961091186
146569,GLENN ST and FOCH ST,5786,Continuous,Yield sign,,NE,ACT,,FOCH ST,,1.0,1.0,GLENN ST,,178.5671,0.0,FOCH ST|GLENN ST,,,,637,Capreol,Glenn Street,Foch Street,,,,,792.0,705.0,,,2.0,,2020-05-04 15:15:39+00:00,TEK05PLA,,,{9B66C7E5-9CF3-46C7-BA7B-056301F960AA},POINT (505286.5127999997 5173692.002800001),-80.93082871156349,46.71676199118904
